"09594: Land use and land cover (km²), by region, contents, year and area classification"

"region";"Area 2021 Residential areas";"Area 2021 Recreational facilities";"Area 2021 Built-up areas for agriculture and fishing";"Area 2021 Industrial, commercial and service areas";"Area 2021 Education and day care facilities";"Area 2021 Health and social welfare institutions";"Area 2021 Cultural and religious activities";"Area 2021 Transport, telecommunications and technical infrastructure";"Area 2021 Emergency and defence services";"Area 2021 Green areas and sports facilities";"Area 2021 Unclassified built-up areas and related land";"Area 2021 Agricultural land";"Area 2021 Forest";"Area 2021 Open firm ground";"Area 2021 Wetland";"Area 2021 Bare rock, gravel and blockfields";"Area 2021 Permanent snow and glaciers";"Area 2021 Inland waters";"Area 2021 Unclassified undeveloped areas"
"3001 Halden";9.61;1.85;2.51;2.89;0.29;0.21;0.22;11.45;0.03;0.84;1.51;61.55;480.39;2.88;16.21;1.30;0.00;48.71;0.00
"3002 Moss";10.41;1.86;1.59;3.92;0.32;0.21;0.14;7.70;0.26;1.57;1.42;33.60;60.03;4.09;0.21;0.48;0.00;10.11;0.00
"3003 Sarpsborg";13.98;2.95;3.49;4.39;0.48;0.28;0.19;12.20;0.01;1.87;1.52;78.12;241.20;8.22;1.70;1.55;0.00;33.47;0.00
"3004 Fredrikstad";19.91;5.14;3.05;6.24;0.62;0.36;0.26;11.85;0.27;2.84;2.49;67.39;138.60;8.91;0.23;15.41;0.00;8.59;0.00
"3005 Drammen";18.35;1.17;1.26;4.59;0.63;0.35;0.23;11.60;0.01;3.41;2.54;26.01;225.58;2.59;5.00;1.17;0.00;13.19;0.00
"3006 Kongsberg";7.68;2.23;2.38;2.23;0.36;0.11;0.15;11.76;0.35;1.86;1.40;40.17;616.43;15.40;32.09;18.85;0.00;39.65;0.00
"3007 Ringerike";11.00;3.99;4.18;5.19;0.37;0.29;0.11;21.43;0.36;1.27;2.12;77.73;1190.86;47.93;50.78;3.21;0.00;134.27;0.00
"3011 Hvaler";2.31;5.79;0.65;0.34;0.04;0.02;0.03;1.96;0.00;0.29;0.19;4.76;34.03;5.65;0.16;33.54;0.00;0.21;0.00
"3012 Aremark";0.64;0.73;0.80;0.31;0.02;0.01;0.03;3.35;0.00;0.16;0.14;20.86;245.44;0.94;7.24;0.02;0.00;38.57;0.00
"3013 Marker";1.38;0.58;1.68;0.52;0.03;0.02;0.05;5.38;0.01;0.14;0.34;40.01;304.58;1.71;10.49;0.04;0.00;45.95;0.00
"3014 Indre Østfold";13.26;1.42;8.58;4.45;0.45;0.23;0.22;17.05;0.03;2.44;2.13;235.68;451.14;8.81;7.46;0.11;0.00;38.33;0.00
"3015 Skiptvet";1.31;0.41;1.33;0.33;0.04;0.03;0.02;1.92;0.00;0.09;0.23;32.57;53.75;0.75;0.20;0.01;0.00;8.19;0.00
"3016 Rakkestad";2.95;0.29;3.52;1.23;0.09;0.04;0.07;6.68;0.00;0.85;0.64;109.71;282.96;3.23;7.96;0.01;0.00;14.64;0.00
"3017 Råde";2.67;1.19;1.62;1.28;0.09;0.03;0.03;4.01;0.24;0.21;0.34;35.31;53.54;3.57;0.41;1.02;0.00;13.27;0.00
"3018 Våler (Viken)";1.93;0.42;1.41;0.29;0.06;0.03;0.02;3.35;0.01;0.29;0.41;34.96;192.11;2.06;1.58;0.02;0.00;18.02;0.00
"3019 Vestby";4.30;2.02;1.35;2.61;0.19;0.06;0.03;5.02;0.00;0.68;0.91;34.88;77.37;3.52;0.12;0.23;0.00;0.68;0.00
"3020 Nordre Follo";11.79;0.52;1.49;2.58;0.47;0.16;0.10;8.09;0.22;1.81;1.33;38.93;124.24;3.21;0.95;0.07;0.00;7.02;0.00
"3021 Ås";4.68;0.57;1.38;1.38;0.54;0.09;0.06;4.36;0.01;0.56;0.74;37.71;46.05;2.28;0.21;0.02;0.00;2.06;0.00
"3022 Frogn";3.60;4.12;0.73;0.42;0.11;0.04;0.05;3.14;0.11;0.70;0.52;15.30;54.27;1.21;0.11;0.13;0.00;1.17;0.00
"3023 Nesodden";5.70;1.68;0.49;0.53;0.17;0.08;0.06;2.57;0.01;0.25;0.64;5.03;42.22;0.83;0.21;0.20;0.00;0.81;0.00
"3024 Bærum";22.83;0.83;1.09;3.41;1.08;0.38;0.18;10.12;0.21;4.47;2.63;14.39;120.58;4.96;0.67;0.25;0.00;4.20;0.00
"3025 Asker";25.10;4.51;2.42;4.44;0.90;0.43;0.20;13.79;0.04;2.71;4.14;40.64;254.82;5.08;1.58;2.49;0.00;13.43;0.00
